% Model:              Gofar_3seg_1e24_1300mpt_GSRM.mph
% Version:            COMSOL 4.2.1.166
% Date:               Nov 8 2019, 17:10
% Dimension:          3
% Nodes:              26741
% Expressions:        3
% Description:        Temperature, differential stress (Pa), overburned pressure
% x             y              z              T (degC)       tau            pressure (Pa)
47500           15000          -36500         1300.000931    1.746074e5     8.2271e8
47500           15000          -35500         1300.001359    1.774057e5     8.0017e8
47500           15000          -35000         1300.001574    1.799966e5     7.889e8
47500           15000          -34500         1300.000708    1.831279e5     7.7763e8
47500           15000          -33500         1299.998977    1.868159e5     7.5509e8
47500           15000          -39000         1299.99986     1.671462e5     8.7906e8
47500           15000          -37500         1300.000503    1.717064e5     8.4525e8
47500           15000          -37000         1300.000717    1.731702e5     8.3398e8
47500           15000          -36000         1300.001145    1.760189e5     8.1144e8
47500           15000          -34000         1299.999843    1.849912e5     7.6636e8
47500           15000          -33000         1299.998112    1.886035e5     7.4382e8
47500           15000          -43000         1299.999641    1.570058e5     9.6922e8
47500           15000          -42000         1299.999572    1.590235e5     9.4668e8
47500           15000          -41000         1299.999502    1.609866e5     9.2414e8
47500           15000          -40000         1299.999432    1.634266e5     9.016e8
47500           15000          -39500         1299.999646    1.655665e5     8.9033e8
47500           15000          -38500         1300.000075    1.686954e5     8.6779e8
47500           15000          -38000         1300.000289    1.702152e5     8.5652e8
47500           15000          -31500         1299.995516    1.937569e5     7.1001e8
47500           15000          -82500         1299.999758    1.05853e5      1.85955e9
47500           15000          -80000         1299.999723    1.079246e5     1.8032e9
47500           15000          -77500         1299.999688    1.09944e5      1.74685e9
47500           15000          -75000         1299.999654    1.136854e5     1.6905e9
47500           15000          -72500         1299.999701    1.184947e5     1.63415e9
47500           15000          -70000         1299.999749    1.214624e5     1.5778e9
47500           15000          -67500         1299.999797    1.243445e5     1.52145e9
47500           15000          -32500         1299.997247    1.903554e5     7.3255e8
47500           15000          -1e5           1300           91410.472388   2.254e9
