% Model:              Gofar_3seg_1e24_1300mpt_GSRM.mph
% Version:            COMSOL 4.2.1.166
% Date:               Nov 8 2019, 17:12
% Dimension:          3
% Nodes:              9061
% Expressions:        3
% Description:        Temperature, differential stress (Pa), overburned pressure
% x             y              z              T (degC)       tau            pressure (Pa)
77500           15000          -36500         1300.000473    1.744837e5     8.2271e8
77500           15000          -35500         1300.000728    1.764848e5     8.0017e8
77500           15000          -35000         1300.000856    1.779185e5     7.889e8
77500           15000          -34500         1300.000242    1.797345e5     7.7763e8
77500           15000          -33500         1299.999014    1.824358e5     7.5509e8
77500           15000          -34000         1299.999628    1.810921e5     7.6636e8
77500           15251.008123   -35000         1300.000805    1.77689e5      7.889e8
77500           15251.008123   -34500         1300.000226    1.794715e5     7.7763e8
77500           15251.008123   -34000         1299.999647    1.808419e5     7.6636e8
77500           15502.016245   -36500         1300.000411    1.740786e5     8.2271e8
77500           15502.016245   -33500         1299.99912     1.819669e5     7.5509e8
77500           15502.016245   -2300          829.395673     2.286939e7     5.1842e7
77500           15502.016245   -1300          551.88979      3.163709e7     2.9302e7
77500           15502.016245   -57500         1299.999933    1.437109e5     1.29605e9
77500           15502.016245   -31500         1299.996942    1.872786e5     7.1001e8
77500           15502.016245   -26500         1300.00028     2.052509e5     5.9731e8
77500           15502.016245   -82500         1299.99985     1.110528e5     1.85955e9
77500           15753.024368   -36500         1300.00038     1.738822e5     8.2271e8
77500           15753.024368   -34000         1299.999684    1.803649e5     7.6636e8
77500           15753.024368   -36000         1300.000488    1.749097e5     8.1144e8
77500           15753.024368   -35000         1300.000704    1.772482e5     7.889e8
77500           15753.024368   -33500         1299.999174    1.817438e5     7.5509e8
77500           15753.024368   -33000         1299.998663    1.831063e5     7.4382e8
77500           15753.024368   -31500         1299.997133    1.870946e5     7.1001e8
77500           15753.024368   -29000         1299.996969    1.961995e5     6.5366e8
77500           15753.024368   -2800          955.83787      8.171281e6     6.3112e7
77500           15753.024368   -1800          742.726533     3.090163e7     4.0572e7
77500           15753.024368   -800           389.273694     2.721182e7     1.8032e7
77500           15753.024368   -95000         1299.999957    99497.920349   2.1413e9
77500           15753.024368   -70000         1299.999829    1.339708e5     1.5778e9
77500           15753.024368   -31000         1299.996622    1.883912e5     6.9874e8
77500           16004.03249    -36500         1300.000349    1.736901e5     8.2271e8
77500           16004.03249    -33500         1299.999227    1.815286e5     7.5509e8
77500           17008.06498    -10600         1295.572769    3.580747e5     2.38924e8
77500           17008.06498    -82500         1299.999858    1.106157e5     1.85955e9
77500           17008.06498    -57500         1299.999927    1.430178e5     1.29605e9
77500           17008.06498    -43000         1299.999782    1.614035e5     9.6922e8
77500           17008.06498    -36500         1300.000225    1.72966e5      8.2271e8
77500           17008.06498    -31500         1299.998088    1.862803e5     7.1001e8
77500           17008.06498    -26500         1300.000918    2.044339e5     5.9731e8
77500           17008.06498    -21500         1299.930153    2.300175e5     4.8461e8
77500           17008.06498    -16600         1299.621179    2.687639e5     3.74164e8
77500           17008.06498    -14600         1299.177978    2.913761e5     3.29084e8
77500           17008.06498    -12600         1298.108906    3.202132e5     2.84004e8
77500           17008.06498    -5300          1249.262882    6.026057e5     1.19462e8
77500           17008.06498    -4300          1217.058861    7.75531e5      9.6922e7
77500           17008.06498    -3300          1157.615876    1.267709e6     7.4382e7
77500           17008.06498    -2300          1029.007355    4.117768e6     5.1842e7
77500           17008.06498    -1300          736.406189     2.815293e7     2.9302e7
77500           18012.097471   -10600         1297.41014     3.483221e5     2.38924e8
77500           18012.097471   -9300          1295.847439    3.68837e5      2.09622e8
77500           18012.097471   -82500         1299.99986     1.100779e5     1.85955e9
77500           18012.097471   -57500         1299.999926    1.408657e5     1.29605e9
77500           18012.097471   -43000         1299.999806    1.577275e5     9.6922e8
77500           18012.097471   -36500         1300.000156    1.68581e5      8.2271e8
77500           18012.097471   -31500         1299.998544    1.81741e5      7.1001e8
77500           18012.097471   -26500         1300.0014      2.008426e5     5.9731e8
77500           18012.097471   -21500         1299.956271    2.282467e5     4.8461e8
77500           18012.097471   -18600         1299.88439     2.498319e5     4.19244e8
77500           18012.097471   -16600         1299.749856    2.696274e5     3.74164e8
77500           18012.097471   -14600         1299.452111    2.926848e5     3.29084e8
77500           18012.097471   -12600         1298.767098    3.190775e5     2.84004e8
77500           18012.097471   -8300          1293.672561    3.817383e5     1.87082e8
77500           18012.097471   -7300          1290.237114    3.961481e5     1.64542e8
77500           18012.097471   -6300          1284.758251    4.134266e5     1.42002e8
77500           18012.097471   -5300          1275.724294    4.450664e5     1.19462e8
