% Model:              Gofar_3seg_1e24_1300mpt_GSRM.mph
% Version:            COMSOL 4.2.1.166
% Date:               Nov 8 2019, 17:10
% Dimension:          3
% Nodes:              44421
% Expressions:        3
% Description:        Temperature, differential stress (Pa), overburned pressure
% x             y              z              T (degC)       tau            pressure (Pa)
-47500          -25523.412563  -1e5           1300           1.271364e5     2.254e9
-47500          -25523.412563  -97500         1299.999989    1.268442e5     2.19765e9
-47500          -26524.330702  -97500         1299.999991    1.272337e5     2.19765e9
-47500          -26023.871633  -97500         1299.99999     1.270389e5     2.19765e9
-47500          -25773.642098  -97500         1299.999989    1.269416e5     2.19765e9
-47500          -25273.183028  -1e5           1300           1.270406e5     2.254e9
-47500          -25273.183028  -97500         1299.999988    1.267468e5     2.19765e9
-47500          -25273.183028  -95000         1299.999976    1.265203e5     2.1413e9
-47500          -25022.953493  -1e5           1300           1.269604e5     2.254e9
-47500          -25022.953493  -97500         1299.999988    1.267453e5     2.19765e9
-47500          -25022.953493  -95000         1299.999975    1.266016e5     2.1413e9
-47500          -24772.723958  -95000         1299.999973    1.266701e5     2.1413e9
-47500          -24772.723958  -1e5           1300           1.268661e5     2.254e9
-47500          -24772.723958  -97500         1299.999987    1.267302e5     2.19765e9
-47500          -24522.494423  -1e5           1300           1.267561e5     2.254e9
-47500          -500.45907     -55000         1300.000915    1.680429e5     1.2397e9
-47500          -500.45907     -52500         1300.001375    1.70283e5      1.18335e9
-47500          -500.45907     -49000         1300.001065    1.874369e5     1.10446e9
-47500          -500.45907     -50000         1300.001836    1.791799e5     1.127e9
-47500          -250.229535    -55000         1300.000898    1.680799e5     1.2397e9
-47500          -250.229535    -52500         1300.001358    1.703181e5     1.18335e9
-47500          -250.229535    -49000         1300.001054    1.874863e5     1.10446e9
-47500          -250.229535    -50000         1300.001817    1.792225e5     1.127e9
-47500          0              -55000         1300.000881    1.681182e5     1.2397e9
-47500          0              -52500         1300.00134     1.703543e5     1.18335e9
-47500          0              -50000         1300.001799    1.792679e5     1.127e9
-47500          0              -49000         1300.001043    1.8754e5       1.10446e9
-47500          -50000         -7200          1299.98958     3.116933e5     1.62288e8
-47500          -50000         -7100          1299.988864    3.12047e5      1.60034e8
-47500          -50000         -7000          1299.988148    3.159715e5     1.5778e8
-47500          -50000         -6900          1299.986663    3.195535e5     1.55526e8
-47500          -50000         -6800          1299.985178    3.195663e5     1.53272e8
-47500          -50000         -6700          1299.983693    3.195793e5     1.51018e8
-47500          -50000         -6200          1299.976267    3.196466e5     1.39748e8
-47500          -50000         -7600          1299.992444    3.102904e5     1.71304e8
-47500          -50000         -7500          1299.991728    3.106392e5     1.6905e8
-47500          -50000         -7400          1299.991012    3.109893e5     1.66796e8
-47500          -50000         -6600          1299.982208    3.195924e5     1.48764e8
-47500          -50000         -6500          1299.980722    3.196057e5     1.4651e8
-47500          -50000         -6400          1299.979237    3.196192e5     1.44256e8
-47500          -50000         -19200         1299.999994    2.000469e5     4.32768e8
-47500          -50000         -19000         1299.999994    2.006028e5     4.2826e8
-47500          -50000         -18800         1299.999994    2.011653e5     4.23752e8
-47500          -50000         -18400         1299.999994    2.023082e5     4.14736e8
-47500          -50000         -18200         1299.999994    2.028877e5     4.10228e8
-47500          -50000         -18000         1299.999994    2.074834e5     4.0572e8
-47500          -50000         -17800         1299.999993    2.1209e5       4.01212e8
-47500          -50000         -17600         1299.999992    2.126936e5     3.96704e8
-47500          -49754.359872  -7200          1299.988155    3.113375e5     1.62288e8
-47500          -49754.359872  -7100          1299.987319    3.116938e5     1.60034e8
-47500          -49754.359872  -7000          1299.986484    3.155316e5     1.5778e8
-47500          -49754.359872  -6800          1299.982541    3.190391e5     1.53272e8
-47500          -49754.359872  -6200          1299.970712    3.191254e5     1.39748e8
-47500          -49754.359872  -10800         1299.999326    2.687828e5     2.43432e8
-47500          -49754.359872  -9600          1299.998594    2.845709e5     2.16384e8
-47500          -49754.359872  -9400          1299.998363    2.856792e5     2.11876e8
-47500          -49754.359872  -8600          1299.996677    2.970722e5     1.93844e8
-47500          -49754.359872  -8400          1299.996064    2.980484e5     1.89336e8
-47500          -49754.359872  -7700          1299.992333    3.095742e5     1.73558e8
-47500          -49754.359872  -7600          1299.991497    3.099242e5     1.71304e8
-47500          -49754.359872  -7500          1299.990662    3.102755e5     1.6905e8
-47500          -49754.359872  -7400          1299.989826    3.106283e5     1.66796e8
-47500          -49754.359872  -7300          1299.98899     3.109822e5     1.64542e8
-47500          -49754.359872  -6900          1299.984512    3.190254e5     1.55526e8
-47500          -49754.359872  -6700          1299.980569    3.190531e5     1.51018e8
-47500          -49754.359872  -6600          1299.978598    3.190672e5     1.48764e8
-47500          -49754.359872  -6500          1299.976627    3.190815e5     1.4651e8
-47500          -49754.359872  -6400          1299.974655    3.19096e5      1.44256e8
-47500          -49754.359872  -5600          1299.934606    3.203887e5     1.26224e8
-47500          -49754.359872  -5400          1299.918523    3.191445e5     1.21716e8
-47500          -49754.359872  -28000         1299.999996    1.694078e5     6.3112e8
-47500          -49754.359872  -27000         1299.999996    1.705003e5     6.0858e8
-47500          -49754.359872  -23000         1299.999995    1.849702e5     5.1842e8
-47500          -49754.359872  -22000         1299.999995    1.861289e5     4.9588e8
-47500          -49754.359872  -19400         1299.999994    1.994382e5     4.37276e8
-47500          -49754.359872  -19200         1299.999994    1.999881e5     4.32768e8
-47500          -49754.359872  -19000         1299.999994    2.00545e5      4.2826e8
-47500          -49754.359872  -18800         1299.999994    2.011084e5     4.23752e8
-47500          -49754.359872  -18400         1299.999994    2.022533e5     4.14736e8
-47500          -49754.359872  -18200         1299.999994    2.028337e5     4.10228e8
-47500          -49754.359872  -18000         1299.999993    2.074156e5     4.0572e8
-47500          -49754.359872  -17200         1299.99999     2.138464e5     3.87688e8
-47500          -49754.359872  -16400         1299.999987    2.163873e5     3.69656e8
-47500          -49754.359872  -4600          1299.55985     3.014968e5     1.03684e8
-47500          -49754.359872  -18600         1299.999994    2.01678e5      4.19244e8
-47500          -49754.359872  -17800         1299.999993    2.120088e5     4.01212e8
-47500          -49754.359872  -17600         1299.999992    2.126138e5     3.96704e8
-47500          -49754.359872  -17400         1299.999991    2.132266e5     3.92196e8
-47500          -49754.359872  -12800         1299.999821    2.488263e5     2.88512e8
-47500          -49754.359872  -11200         1299.999461    2.674829e5     2.52448e8
-47500          -49508.719743  -7100          1299.985774    3.113407e5     1.60034e8
-47500          -49508.719743  -9800          1299.998749    2.831025e5     2.20892e8
-47500          -49508.719743  -8800          1299.997075    2.957764e5     1.98352e8
-47500          -49508.719743  -7400          1299.98864     3.102672e5     1.66796e8
-47500          -49508.719743  -7200          1299.98673     3.109817e5     1.62288e8
-47500          -49508.719743  -7000          1299.984819    3.150916e5     1.5778e8
-47500          -49508.719743  -6900          1299.982361    3.184969e5     1.55526e8
-47500          -49508.719743  -6800          1299.979904    3.185116e5     1.53272e8
-47500          -49508.719743  -6500          1299.972531    3.185569e5     1.4651e8
-47500          -49508.719743  -6200          1299.965158    3.186038e5     1.39748e8
-47500          -49508.719743  -5800          1299.940947    3.208295e5     1.30732e8
-47500          -49508.719743  -29000         1299.999996    1.683444e5     6.5366e8
-47500          -49508.719743  -24000         1299.999996    1.838242e5     5.4096e8
-47500          -49508.719743  -19600         1299.999994    1.988352e5     4.41784e8
-47500          -49508.719743  -19200         1299.999994    1.999293e5     4.32768e8
-47500          -49508.719743  -18800         1299.999994    2.010516e5     4.23752e8
-47500          -49508.719743  -18400         1299.999994    2.021983e5     4.14736e8
-47500          -49508.719743  -18200         1299.999993    2.027798e5     4.10228e8
-47500          -49508.719743  -17600         1299.999992    2.125341e5     3.96704e8
-47500          -49508.719743  -7800          1299.992462    3.088541e5     1.75812e8
-47500          -49508.719743  -7600          1299.990551    3.095579e5     1.71304e8
-47500          -49508.719743  -7500          1299.989596    3.099119e5     1.6905e8
-47500          -49508.719743  -19000         1299.999994    2.004872e5     4.2826e8
-47500          -49508.719743  -18000         1299.999993    2.073478e5     4.0572e8
-47500          -49508.719743  -17800         1299.999992    2.119277e5     4.01212e8
-47500          -49508.719743  -16400         1299.999987    2.163155e5     3.69656e8
-47500          -49508.719743  -11600         1299.99958     2.659065e5     2.61464e8
-47500          -49263.079615  -6900          1299.98021     3.17968e5      1.55526e8
-47500          -49263.079615  -7100          1299.984229    3.109876e5     1.60034e8
-47500          -49263.079615  -6700          1299.974323    3.179995e5     1.51018e8
-47500          -49263.079615  -19200         1299.999994    1.998705e5     4.32768e8
-47500          -49263.079615  -18200         1299.999993    2.027258e5     4.10228e8
